TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,INDEX_NAME,COLUMNS,IS_PRIMARY_KEY,UNIQUE,CREATE_OPTION
meeting_reservation_sys,meeting_reservation_sys,interviewers,PRIMARY,interviewer_id,YES,YES,
meeting_reservation_sys,meeting_reservation_sys,interviewers,manager_id,manager_id,NO,NO,
meeting_reservation_sys,meeting_reservation_sys,managers,PRIMARY,manager_id,YES,YES,
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,PRIMARY,past_id,YES,YES,
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,time_id,time_id,NO,NO,
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,user_id,user_id,NO,NO,
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,interviewer_id,interviewer_id,NO,NO,
meeting_reservation_sys,meeting_reservation_sys,reservations,PRIMARY,reservation_id,YES,YES,
meeting_reservation_sys,meeting_reservation_sys,reservations,time_id,time_id,NO,NO,
meeting_reservation_sys,meeting_reservation_sys,reservations,user_id,user_id,NO,NO,
meeting_reservation_sys,meeting_reservation_sys,reservations,interviewer_id,interviewer_id,NO,NO,
meeting_reservation_sys,meeting_reservation_sys,times,PRIMARY,time_id,YES,YES,
meeting_reservation_sys,meeting_reservation_sys,users,PRIMARY,user_id,YES,YES,
